2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.attn.q.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.attn.kv.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.attn.kv.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.attn.proj.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.attn.proj.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.attn2.q.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.attn2.q.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.attn2.kv.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.attn2.kv.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.attn2.proj.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.attn2.proj.bias, lr: 0.0001, weight_decay: 0.0001
